Serial number,Date,Closing price
1,1/10/2018,7495.67
2,2/10/2018,7474.55
3,3/10/2018,7510.28
4,4/10/2018,7418.34
5,5/10/2018,7318.54
6,8/10/2018,7233.33
7,9/10/2018,7237.59
8,10/10/2018,7145.74
9,11/10/2018,7007.4
10,12/10/2018,6995.91
11,15/10/2018,7030.25
12,16/10/2018,7059.4
13,17/10/2018,7054.6
14,18/10/2018,7026.99
15,19/10/2018,7049.8
16,22/10/2018,7042.8
17,23/10/2018,6955.21
18,24/10/2018,6962.98
19,25/10/2018,7004.1
20,26/10/2018,6939.56
21,29/10/2018,7026.32
22,30/10/2018,7035.85
23,31/10/2018,7128.1
24,1/11/2018,7114.66
25,2/11/2018,7094.12
26,5/11/2018,7103.84
27,6/11/2018,7040.68
28,7/11/2018,7117.28
29,8/11/2018,7140.68
30,9/11/2018,7105.34
31,12/11/2018,7053.08
32,13/11/2018,7053.76
