Dates,Weather
1/10/2018,Partly cloudy
2/10/2018,Patchy rain possible
3/10/2018,Partly cloudy
4/10/2018,Patchy rain possible
5/10/2018,Partly cloudy
6/10/2018,Light rain
7/10/2018,Cloudy
8/10/2018,Overcast
9/10/2018,Partly cloudy
10/10/2018,Partly cloudy
11/10/2018,Moderate rain
12/10/2018,Light drizzle
13/10/2018,Cloudy
14/10/2018,Moderate rain
15/10/2018,Light rain
16/10/2018,Light rain shower
17/10/2018,Moderate rain
18/10/2018,Partly cloudy
19/10/2018,Partly cloudy
20/10/2018,Partly cloudy
21/10/2018,Partly cloudy
22/10/2018,Partly cloudy
23/10/2018,Partly cloudy
24/10/2018,Partly cloudy
25/10/2018,Partly cloudy
26/10/2018,Light drizzle
27/10/2018,Overcast
28/10/2018,Patchy rain possible
29/10/2018,Partly cloudy
30/10/2018,Partly cloudy
31/10/2018,Cloudy
1/11/2018,Light rain shower
2/11/2018,Partly cloudy
3/11/2018,Patchy rain possible
4/11/2018,Light rain
